"last.name","first.name","state","party","gender","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Alexander","Lamar","TN","R","M","A000360","40304",NA,NA,14,0.832004989325616,0.689669346047818,0.953648918301272,"Alexander (R-TN)"
"Ayotte","Kelly","NH","R","F","A000368","",NA,NA,2,0.784466168960804,0.644697885681457,0.904464747962427,"Ayotte (R-NH)"
"Baldwin","Tammy","WI","D","F","B001230","29940",NA,NA,1,-1.29283037242232,-1.79840247733687,-0.757200445472099,"Baldwin (D-WI)"
"Barrasso","John","WY","R","M","B001261","40707",NA,NA,1,1.28096347802872,1.11696221258704,1.48647767843611,"Barrasso (R-WY)"
"Baucus","Max","MT","D","M","B000243","14203",NA,NA,18,-0.33106637608966,-0.494522686365011,-0.189705875403931,"Baucus (D-MT)"
"Begich","Mark","AK","D","M","B001265","",NA,NA,13,-0.36785704476892,-0.536298164996451,-0.214311871309331,"Begich (D-AK)"
"Bennet","Michael","CO","D","M","B001267","",NA,NA,0,-0.58443221021437,-0.777263488866845,-0.393318918483284,"Bennet (D-CO)"
"Blumenthal","Richard","CT","D","M","B001277","",NA,NA,1,-1.2803002452359,-1.75638490060338,-0.846696132530116,"Blumenthal (D-CT)"
"Blunt","Roy","MO","R","M","B000575","29735",NA,NA,18,0.925543079235714,0.777363145154669,1.070177816314,"Blunt (R-MO)"
"Booker","Cory","NJ","D","M","B001288","",NA,NA,199,-0.974556145673977,-1.83812767381521,-0.3711272854834,"Booker (D-NJ)"
"Boozman","John","AR","R","M","B001236","20101",NA,NA,0,1.09027606724038,0.934097189983146,1.23347784289751,"Boozman (R-AR)"
"Boxer","Barbara","CA","D","F","B000711","15010",NA,NA,14,-1.47343975999579,-2.02466614829757,-0.889799722630968,"Boxer (D-CA)"
"Brown","Sherrod","OH","D","M","B000944","29389",NA,NA,3,-1.2534573823432,-1.72164082785288,-0.816152175058029,"Brown (D-OH)"
"Burr","Richard","NC","R","M","B001135","29548",NA,NA,4,0.994183899959945,0.862420786781825,1.15018646666632,"Burr (R-NC)"
"Cantwell","Maria","WA","D","F","C000127","39310",NA,NA,0,-1.39567853204261,-1.93163870761737,-0.834172449970854,"Cantwell (D-WA)"
"Cardin","Benjamin","MD","D","M","C000141","15407",NA,NA,0,-1.25756063370187,-1.76287925087315,-0.814265539537569,"Cardin (D-MD)"
"Carper","Thomas","DE","D","M","C000174","15014",NA,NA,1,-0.619894422463362,-0.838282085257793,-0.423884159889286,"Carper (D-DE)"
"Casey","Bob","PA","D","M","C001070","40703",NA,NA,9,-0.589680746089886,-0.776505057778033,-0.399783323869076,"Casey (D-PA)"
"Chambliss","Saxby","GA","R","M","C000286","29512",NA,NA,18,0.921011478005239,0.78522676638105,1.06851115687492,"Chambliss (R-GA)"
"Chiesa","Jeffrey","NJ","R","M","C001100","","Class II",NA,241,0.823732982311906,0.648347758506804,0.969741965583794,"Chiesa (R-NJ)"
"Coats","Daniel","IN","R","M","C000542","14806",NA,NA,8,1.03023032055082,0.883646743493907,1.19150150791429,"Coats (R-IN)"
"Coburn","Tom","OK","R","M","C000560","29555",NA,NA,33,1.2441454573425,1.07629971963445,1.43143304090443,"Coburn (R-OK)"
"Cochran","Thad","MS","R","M","C000567","14009",NA,NA,6,0.924913413790427,0.775681657265754,1.06008580542912,"Cochran (R-MS)"
"Collins","Susan","ME","R","F","C001035","49703",NA,NA,0,0.312918829951014,0.197989139470235,0.414789334741401,"Collins (R-ME)"
"Coons","Christopher","DE","D","M","C001088","",NA,NA,4,-0.741745333045489,-0.952326217927454,-0.479791026005233,"Coons (D-DE)"
"Corker","Bob","TN","R","M","C001071","40705",NA,NA,6,0.818640439692709,0.681068444595978,0.943001625223171,"Corker (R-TN)"
"Cornyn","John","TX","R","M","C001056","40305",NA,NA,7,1.24395703580736,1.08078633827152,1.42645440905237,"Cornyn (R-TX)"
"Cowan","William","MA","D","M","C001099","",NA,NA,166,-0.968760683674672,-1.40533421237338,-0.644071129146496,"Cowan (D-MA)"
"Crapo","Michael","ID","R","M","C000880","29345",NA,NA,5,1.43801947598157,1.2301019896934,1.64687085959716,"Crapo (R-ID)"
"Cruz","Ted","TX","R","M","C001098","",NA,NA,15,1.50665966909252,1.31674987562537,1.74426531414634,"Cruz (R-TX)"
"Donnelly","Joe","IN","D","M","D000607","20717",NA,NA,0,-0.239285574202318,-0.372640182759745,-0.117430784530486,"Donnelly (D-IN)"
"Durbin","Richard","IL","D","M","D000563","15020",NA,NA,2,-0.997192893067291,-1.34931001541714,-0.681194301807314,"Durbin (D-IL)"
"Enzi","Michael","WY","R","M","E000285","49706",NA,NA,2,1.37530153384813,1.17260483081212,1.563522908132,"Enzi (R-WY)"
"Feinstein","Dianne","CA","D","F","F000062","49300",NA,NA,1,-0.945226838886779,-1.29421150618637,-0.64574768373943,"Feinstein (D-CA)"
"Fischer","Deb","NE","R","F","F000463","",NA,NA,0,1.07238590811288,0.908491825279259,1.2081838257166,"Fischer (R-NE)"
"Flake","Jeff","AZ","R","M","F000444","20100",NA,NA,16,0.79530535738685,0.663133507144912,0.933930740941014,"Flake (R-AZ)"
"Franken","Al","MN","D","M","F000457","",NA,NA,0,-1.06191729076753,-1.49508810019537,-0.67473795385581,"Franken (D-MN)"
"Gillibrand","Kirsten","NY","D","F","G000555","20735",NA,NA,2,-1.20153502570976,-1.68837410444744,-0.780610266685598,"Gillibrand (D-NY)"
"Graham","Lindsey","SC","R","M","G000359","29566",NA,NA,24,0.78963849942922,0.643228638301327,0.914192395571311,"Graham (R-SC)"
"Grassley","Charles","IA","R","M","G000386","14226",NA,NA,0,1.1647489361584,0.994344405560347,1.33051712976699,"Grassley (R-IA)"
"Hagan","Kay","NC","D","F","H001049","",NA,NA,0,-0.221289135762197,-0.346252446373371,-0.0826916065514733,"Hagan (D-NC)"
"Harkin","Tom","IA","D","M","H000206","14230",NA,NA,5,-0.80079989398699,-1.05224125053775,-0.553863032201857,"Harkin (D-IA)"
"Hatch","Orrin","UT","R","M","H000338","14503",NA,NA,24,0.779548825964613,0.642498554722527,0.900211376458723,"Hatch (R-UT)"
"Heinrich","Martin","NM","D","M","H001046","",NA,NA,2,-0.587719156542264,-0.7863063352287,-0.377974584881868,"Heinrich (D-NM)"
"Heitkamp","Heidi","ND","D","F","H001069","",NA,NA,9,-0.345694471324753,-0.501820787958867,-0.199965160756538,"Heitkamp (D-ND)"
"Heller","Dean","NV","R","M","H001041","20730",NA,NA,4,0.974961633271392,0.837152625404007,1.10834846402805,"Heller (R-NV)"
"Hirono","Mazie","HI","D","F","H001042","20713",NA,NA,1,-1.55149771614117,-2.21876246153735,-0.959217778277057,"Hirono (D-HI)"
"Hoeven","John","ND","R","M","H001061","",NA,NA,1,0.898859955610462,0.765269341831744,1.04364121623689,"Hoeven (R-ND)"
"Inhofe","James","OK","R","M","I000024","15423",NA,NA,37,1.38762211119429,1.1854224065157,1.58258378475417,"Inhofe (R-OK)"
"Isakson","Johnny","GA","R","M","I000055","29909",NA,NA,15,0.898222980489582,0.776605361030469,1.0660982233279,"Isakson (R-GA)"
"Johanns","Mike","NE","R","M","J000291","",NA,NA,9,0.992866083379852,0.855412173802795,1.13238344714369,"Johanns (R-NE)"
"Johnson","Tim","SD","D","M","J000177","15424",NA,NA,4,-0.736062267651183,-0.975858599416015,-0.511342762000674,"Johnson (D-SD)"
"Johnson","Ron","WI","R","M","J000293","",NA,NA,8,1.22727221196503,1.0505581756181,1.38407132614054,"Johnson (R-WI)"
"Kaine","Tim","VA","D","M","K000384","",NA,NA,3,-0.528932234118211,-0.695276308935459,-0.326294918559918,"Kaine (D-VA)"
"Kerry","John","MA","D","M","K000148","15300",NA,NA,297,-0.407704072615317,-1.68300295166288,0.706635205538967,"Kerry (D-MA)"
"King","Angus","ME","I","M","K000383","",NA,NA,3,-0.401784503626013,-0.578705869932362,-0.248507446320021,"King (I-ME)"
"Kirk","Mark","IL","R","M","K000360","20115",NA,NA,32,0.714341003587643,0.577643512486096,0.846707806058748,"Kirk (R-IL)"
"Klobuchar","Amy","MN","D","F","K000367","40700",NA,NA,2,-0.641452014685129,-0.903613329938217,-0.44195882098093,"Klobuchar (D-MN)"
"Landrieu","Mary","LA","D","F","L000550","49702",NA,NA,10,-0.361303173652501,-0.510858391721468,-0.218392925404871,"Landrieu (D-LA)"
"Lautenberg","Frank","NJ","D","M","L000123","15103",NA,NA,270,-1.31207330839106,-2.20158119038071,-0.444495372920788,"Lautenberg (D-NJ)"
"Leahy","Patrick","VT","D","M","L000174","14307",NA,NA,0,-1.00868737990354,-1.37816815100177,-0.678267512554325,"Leahy (D-VT)"
"Lee","Mike","UT","R","M","L000577","",NA,NA,6,1.47617947721253,1.27881481486796,1.68657777225225,"Lee (R-UT)"
"Levin","Carl","MI","D","M","L000261","14709",NA,NA,4,-0.618913839141763,-0.832866943863632,-0.392661385395405,"Levin (D-MI)"
"Manchin III","Joe","WV","D","M","M001183","",NA,NA,5,-0.0153648848234933,-0.129218523414593,0.0986108806686618,"Manchin III (D-WV)"
"Markey","Edward","MA","D","M","M000133","14435","II",NA,152,-1.03932297195057,-1.79186410529664,-0.353031610724592,"Markey (D-MA)"
"McCain","John","AZ","R","M","M000303","15038",NA,NA,18,0.746460330741188,0.617129285431233,0.86867799606141,"McCain (R-AZ)"
"McCaskill","Claire","MO","D","F","M001170","40701",NA,NA,8,-0.258143695997483,-0.386328667540096,-0.129600895142632,"McCaskill (D-MO)"
"McConnell","Mitch","KY","R","M","M000355","15301",NA,NA,1,1.12722265747546,0.949499829278376,1.27428376060055,"McConnell (R-KY)"
"Menendez","Robert","NJ","D","M","M000639","29373",NA,NA,3,-1.54036996372037,-2.2290688954118,-0.905654723481425,"Menendez (D-NJ)"
"Merkley","Jeff","OR","D","M","M001176","",NA,NA,3,-0.654590040307935,-0.904414260639566,-0.453154489870281,"Merkley (D-OR)"
"Mikulski","Barbara","MD","D","F","M000702","14440",NA,NA,6,-1.20327591047834,-1.63806945507338,-0.796403121030178,"Mikulski (D-MD)"
"Moran","Jerry","KS","R","M","M000934","29722",NA,NA,17,1.11796527134246,0.965885950020291,1.29251324623034,"Moran (R-KS)"
"Murkowski","Lisa","AK","R","F","M001153","40300",NA,NA,19,0.314888082387386,0.203787465257486,0.429772256648253,"Murkowski (R-AK)"
"Murphy","Christopher","CT","D","M","M001169","20707",NA,NA,1,-1.30790343982577,-1.76239747530283,-0.866344851136372,"Murphy (D-CT)"
"Murray","Patty","WA","D","F","M001111","49308",NA,NA,16,-1.12869312190251,-1.51062735051296,-0.692046687045753,"Murray (D-WA)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,285,-0.651305627908631,-1.74625351405677,0.371477615340656,"NA (NA-NA)"
"Nelson","Bill","FL","D","M","N000032","14651",NA,NA,15,-0.761028999599852,-1.03694442698796,-0.516987136053082,"Nelson (D-FL)"
"Paul","Rand","KY","R","M","P000603","",NA,NA,13,1.34300033641725,1.18049431058233,1.55839635038019,"Paul (R-KY)"
"Portman","Rob","OH","R","M","P000449","29386",NA,NA,2,0.895029008612876,0.761663704714473,1.02395227920147,"Portman (R-OH)"
"Pryor","Mark","AR","D","M","P000590","40301",NA,NA,0,-0.147185468416256,-0.267804435447849,-0.0416074588882529,"Pryor (D-AR)"
"Reed","Jack","RI","D","M","R000122","15833",NA,NA,0,-1.291881174189,-1.80158647530966,-0.815784361714403,"Reed (D-RI)"
"Reid","Harry","NV","D","M","R000146","15054",NA,NA,7,-0.347716224386108,-0.490435476248345,-0.201121904538966,"Reid (D-NV)"
"Risch","Jim","ID","R","M","R000584","",NA,NA,10,1.62942427786417,1.37875840877174,1.86202554439802,"Risch (R-ID)"
"Roberts","Pat","KS","R","M","R000307","14852",NA,NA,3,1.41452190163038,1.2179479710882,1.63558113161939,"Roberts (R-KS)"
"Rockefeller IV","John","WV","D","M","R000361","15302",NA,NA,14,-0.790481977941817,-1.09725356492198,-0.522048302844965,"Rockefeller IV (D-WV)"
"Rubio","Marco","FL","R","M","R000595","",NA,NA,7,1.06242849129038,0.906838268544403,1.21690857477962,"Rubio (R-FL)"
"Sanders","Bernard","VT","I","M","S000033","15836",NA,NA,3,-0.746360012148757,-1.00967460919014,-0.493152668356278,"Sanders (I-VT)"
"Schatz","Brian","HI","D","M","S001194","",NA,NA,4,-1.45178071766027,-2.09192261706556,-0.857230263321033,"Schatz (D-HI)"
"Schumer","Charles","NY","D","M","S000148","14858",NA,NA,0,-1.32942466141289,-1.86817979786852,-0.808135268374832,"Schumer (D-NY)"
"Scott","Tim","SC","R","M","S001184","",NA,NA,1,1.35917931314399,1.20182958199021,1.56305466977561,"Scott (R-SC)"
"Sessions","Jeff","AL","R","M","S001141","49700",NA,NA,3,1.27584124236604,1.11185605886389,1.47082654787185,"Sessions (R-AL)"
"Shaheen","Jeanne","NH","D","F","S001181","",NA,NA,3,-0.63930765714259,-0.840076727410596,-0.430357476593803,"Shaheen (D-NH)"
"Shelby","Richard","AL","R","M","S000320","14659",NA,NA,5,1.23181816336871,1.0609787626709,1.40071002731113,"Shelby (R-AL)"
"Stabenow","Debbie","MI","D","F","S000770","29732",NA,NA,1,-1.14708477395381,-1.5203782455921,-0.73732048890891,"Stabenow (D-MI)"
"Tester","Jon","MT","D","M","T000464","40702",NA,NA,1,-0.346607293397072,-0.506178572719332,-0.196160733382613,"Tester (D-MT)"
"Thune","John","SD","R","M","T000250","29754",NA,NA,2,1.06403955253487,0.8968474757282,1.20017555492023,"Thune (R-SD)"
"Toomey","Patrick","PA","R","M","T000461","29935",NA,NA,5,1.07012603963932,0.90755649970049,1.22824521818484,"Toomey (R-PA)"
"Udall","Mark","CO","D","M","U000038","29906",NA,NA,8,-0.513486317256624,-0.6992174402328,-0.333149806905336,"Udall (D-CO)"
"Udall","Tom","NM","D","M","U000039","29924",NA,NA,1,-0.847580861825071,-1.12837905589642,-0.578354877038349,"Udall (D-NM)"
"Vitter","David","LA","R","M","V000127","29918",NA,NA,20,1.25195875045826,1.07771944222387,1.42271363090525,"Vitter (R-LA)"
"Warner","Mark","VA","D","M","W000805","",NA,NA,7,-0.443629844793402,-0.613468714852051,-0.300255514088949,"Warner (D-VA)"
"Warren","Elizabeth","MA","D","F","W000817","",NA,NA,5,-1.04766606375277,-1.48282811927379,-0.690023321243019,"Warren (D-MA)"
"Whitehouse","Sheldon","RI","D","M","W000802","40704",NA,NA,4,-1.09964155552838,-1.47811372520133,-0.680648068214476,"Whitehouse (D-RI)"
"Wicker","Roger","MS","R","M","W000437","29534",NA,NA,6,0.886806531117121,0.754639563733692,1.01946573093895,"Wicker (R-MS)"
"Wyden","Ron","OR","D","M","W000779","14871",NA,NA,1,-0.659467315020444,-0.883817878512292,-0.462924929422455,"Wyden (D-OR)"
